FG time = 3604.3	BG time = 485
5	0	0
15	0	0
25	0	0
35	0.00110979	0
45	0.00110979	0
55	0.00138723	0
65	0.00221957	0
75	0.00305191	0.00412371
85	0.00471659	0
95	0.00693616	0
105	0.00860084	0
115	0.00887828	0
125	0.00887828	0
135	0.0116527	0
145	0.0113753	0.00206186
155	0.01304	0
165	0.00943318	0.00206186
175	0.0127625	0
185	0.0172017	0
195	0.0158144	0
205	0.018034	0
215	0.0119302	0.00206186
225	0.0119302	0
235	0.0122076	0
245	0.0138723	0.00206186
255	0.0144272	0
265	0.0149821	0
275	0.0108204	0
285	0.0147047	0.00206186
295	0.0119302	0
305	0.0124851	0
315	0.00943318	0
325	0.0102655	0
335	0.00832339	0.00412371
345	0.00693616	0
355	0.0116527	0
365	0.00915573	0.00206186
375	0.00638127	0.00206186
385	0.00804594	0
395	0.00471659	0.00206186
405	0.00665871	0.00206186
415	0.00721361	0.00412371
425	0.00638127	0
435	0.00471659	0.00206186
445	0.00471659	0
455	0.00388425	0.00206186
465	0.0036068	0
475	0.00499403	0.00206186
485	0.00499403	0
495	0.00499403	0
505	0.00221957	0
515	0.00443914	0
525	0.00277446	0.00206186
535	0.00138723	0
545	0.00221957	0
555	0.00166468	0
565	0.00249702	0
575	0.00249702	0
585	0.00249702	0
595	0.00249702	0
605	0.000554893	0
615	0.00166468	0
625	0.00194212	0
635	0.00110979	0
645	0.000554893	0
655	0.00110979	0
665	0.000554893	0
675	0.00110979	0
685	0.000277446	0
695	0.00138723	0
705	0	0
715	0	0
725	0.000554893	0
735	0.000554893	0
745	0.000277446	0
755	0.000277446	0
765	0.00110979	0
775	0	0
785	0.000554893	0
795	0	0
805	0	0
815	0	0
825	0	0
835	0	0
845	0.000277446	0
855	0.000277446	0
865	0.000277446	0
875	0.000554893	0
885	0	0
895	0.000277446	0
905	0.000554893	0
915	0.000277446	0
925	0.000277446	0
935	0	0
945	0.000277446	0
955	0	0.00206186
965	0.000277446	0
975	0.000277446	0
985	0.000277446	0
995	0.000277446	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0.00206186
1055	0.000277446	0
1065	0	0
1075	0.000277446	0
1085	0	0
1095	0	0
1105	0.000277446	0
1115	0	0
1125	0.000277446	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0.000277446	0
